GENEID,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL
ENSMUSG00000007721,3385.31275350437,-0.269781714904168,0.0641940354447425,2.42645660889037e-05,7.19028743642651e-05,Ccdc124
ENSMUSG00000000792,14.2574539669243,-1.69261859469536,0.533723097043786,0.000180098715762989,0.00047600573365386,Slc5a5
ENSMUSG00000045128,58521.2589704283,-0.0243671549763468,0.0656399400374376,0.700627223026717,0.773246254361332,Rpl18a
ENSMUSG00000019261,2952.44046650078,0.200314084899242,0.0778790865490858,0.00950385002202962,0.0187406298282503,Map1s
ENSMUSG00000035439,1674.83397431497,-0.852202412066888,0.0715232756073405,4.13207034494706e-33,5.40011676456253e-32,Haus8
ENSMUSG00000004677,18184.4597652132,-0.235273398389215,0.0562959442284643,2.68102494823576e-05,7.91003913704861e-05,Myo9b
ENSMUSG00000002395,5078.15697024951,-0.00734672292251574,0.05272901652414,0.871421161724008,0.909364875223513,Use1
ENSMUSG00000002396,1108.38614154316,0.140950023544001,0.0687561573855563,0.0395505047403494,0.0683209616290374,Ocel1
ENSMUSG00000002393,187.451421829082,0.725557654749941,0.159124641363616,2.54808847211565e-06,8.48558710631325e-06,Nr2f6
ENSMUSG00000034911,4.40736847579808,1.14643652930232,1.15376941658733,0.0334875797306651,0.0587267271242037,Ushbp1
ENSMUSG00000031820,3912.65757882237,-0.134723581872782,0.0553206784717502,0.0143546638653686,0.0273504101877094,Babam1
ENSMUSG00000046295,668.919462117453,-0.316386520651455,0.10037947686925,0.00140444177247077,0.00322120051995725,Ankle1
ENSMUSG00000007950,3963.45687408131,0.751975330084003,0.0816900081580881,1.96399455986506e-20,1.6493319274166e-19,Abhd8
ENSMUSG00000034880,991.570417151608,-0.29826595078627,0.0870950630808189,0.000530151908774797,0.00130407491471558,Mrpl34
ENSMUSG00000074247,4500.88243780481,-0.343820392793316,0.059589090483709,6.84620731837201e-09,2.94532498220379e-08,Dda1
ENSMUSG00000034863,1794.9618514452,-0.245185142889032,0.0788713638488187,0.00174277006268945,0.0039437640959582,Ano8
