GENEID,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL
ENSMUSG00000021338,144.554005890703,-1.27352163052443,0.169797128846005,1.39520262927997e-14,8.86759141530942e-14,Lrrc16a
ENSMUSG00000006711,25.8543909860343,1.38144330647051,1.34805071581714,0.0256116208648685,0.0461352717198105,D130043K22Rik
ENSMUSG00000035936,172.128711369889,1.67484316910825,0.187751752932508,7.04035804872883e-20,5.75116401065012e-19,Aldh5a1
ENSMUSG00000076431,328.105571302618,1.56941366956637,0.192212883448743,6.54918637495565e-17,4.66498515542109e-16,Sox4
ENSMUSG00000038732,1643.25802551085,1.52237820177571,0.0670934209216233,1.05389249128496e-114,5.26203116321702e-113,Mboat1
ENSMUSG00000069255,162.362507424863,-1.31414900293172,0.178862415166036,4.19655168873454e-14,2.6024634636587e-13,Dusp22
ENSMUSG00000042842,8338.54240845074,-1.35043733867453,0.0425883942610173,1.01762405490672e-221,1.01618894406005e-219,Serpinb6b
ENSMUSG00000045827,9633.55947588799,-1.50377942609826,0.0448622783339868,3.7043409639174e-247,4.57985901078613e-245,Serpinb9
ENSMUSG00000021403,134.488297071832,-1.66621277643346,0.210457817969588,3.45140381482963e-16,2.39492065155528e-15,Serpinb9b
ENSMUSG00000051029,31.6860338407854,-1.4247574712097,0.403677151812719,6.58173854596733e-05,0.000185239969411164,Serpinb1b
ENSMUSG00000038286,257.457669157465,1.34999536090548,0.151267434353115,1.12532551942493e-19,9.08777653789609e-19,Bphl
ENSMUSG00000038267,63.1941550450867,-1.29166541263648,0.35138212838897,4.57660103462407e-05,0.00013161213017791,Slc22a23
ENSMUSG00000039114,1492.82917482812,4.37697247933154,0.0943804857761993,0,0,Nrn1
ENSMUSG00000021423,262.453083757402,-2.43453932444267,0.164150907831827,1.01369541079636e-50,1.97391838867321e-49,Ly86
ENSMUSG00000044566,103.761720803707,1.77265500587256,0.23502188098713,6.4592142227631e-15,4.18907740059132e-14,Cage1
ENSMUSG00000054889,343.230493421772,-1.69696687003479,0.165607071394155,1.34579986849767e-25,1.40045894131308e-24,Dsp
ENSMUSG00000038991,7249.92258067211,-1.13965747690338,0.0335686081961445,3.02121406991366e-253,3.95499771269874e-251,Txndc5
ENSMUSG00000021360,237.323148985254,-2.37589642380471,0.135922396246116,2.40597341652152e-69,6.5069885212799e-68,Gcnt2
ENSMUSG00000038651,5.00239686939502,4.94215651112531,2.49052527994773,0.000305230637778615,0.000778723038865913,Sycp2l
ENSMUSG00000021367,2.59277373523067,2.61670599993124,1.99403184394156,0.00672064432056532,0.0136962581404718,Edn1
ENSMUSG00000054021,233.087785440639,1.71251870937597,0.150823931740647,1.26097030854548e-30,1.5203866460156e-29,Sirt5
ENSMUSG00000021375,637.747143335292,3.78415773663445,0.136791510482347,1.83628151923031e-169,1.36217111936047e-167,Kif13a
ENSMUSG00000038068,191.609158302586,-2.68328209950266,0.210799107547736,5.60245756255307e-38,8.26468597627383e-37,Rnf144b
ENSMUSG00000038042,92.7329628831885,1.46848303449851,0.254620737602679,1.39041345322763e-09,6.32483279109071e-09,Ptpdc1
ENSMUSG00000047842,5.81413346042583,-1.26037249328741,1.12895886145534,0.0216671671661963,0.0396955345307546,Diras2
ENSMUSG00000021457,737.27866000466,-2.17448730774668,0.0915963412831818,1.13772383258226e-125,6.28491555459803e-124,Syk
ENSMUSG00000034891,26.4235121316729,1.43240830400304,0.471704864015632,0.000364656412040274,0.000919342545195565,Sncb
ENSMUSG00000025877,365.708680178335,-1.42052794817593,0.134884813388611,1.08345689708956e-26,1.16641959522191e-25,Hk3
ENSMUSG00000021485,949.68783641469,-1.00580391423439,0.0773892392454283,4.44162672692918e-39,6.65944765660276e-38,Mxd3
ENSMUSG00000034675,219.106637036297,-3.17663138291412,0.228262952709345,6.22682342249029e-45,1.07540416048286e-43,Dbn1
